marc 21-02-2020

leabhar,dp,teideal,údar
NL575,09/05/2007,Casadh an tSúgáin,Dubhghlas De hÍde     
NL577,23/05/2007,Fear na Milliún Punt,Piaras Béaslaí    
SCRÍOBH 1,01/05/2007,ní fios, ní fios
SCRÍOBH 2,01/05/2007,ní fios, ní fios
Scríobh 3,01/05/2007,ní fios, ní fios
scríobh 5,24/05/2007,ní fios, ní fios
Scríobh. 4,24/05/2007,ní fios, ní fios
U128,	24/05/2007,Ceólta Óméith,An tAthair Lorcán Ó Muireadhaigh
A211,	29/05/2007,Leabhar Geograiphe,Seosamh Laoide           
A216,	22/06/2007,An Béar,Anton Chekhov      
AC008,06/06/2007,Tús na Céimseatan - Leabhar a hAon,Joseph Browne    
AM015,25/06/2007,Cócaireacht,Brigid Russell    
Beal. 54-55,  19/06/2007,Béaloideas Lvii-v, údair éagsúla
Beal. 56,29/06/2007,Béaloideas Lvi, údair éagsúla
Béal. 29,01/06/2007,Béaloideas xxix, údair éagsúla
Béal. 30,01/06/2007,Béaloideas xxx, údair éagsúla
Béal. 32,01/06/2007,Béaloideas xxxii, údair éagsúla
Béal. 53,19/06/2007,Béaloideas Liii, údair éagsúla
Béal. 45-47,27/06/2007, Béaloideas xxxxv-vii, údair éagsúla
Béal. 51,27/06/2007, Béaloideas Li, údair éagsúla
Béal. 31,01/06/2007, Béaloideas xxxi, údair éagsúla
Béal. 48-49,25/06/2007, Béaloideas xxxxviii-ix, údair éagsúla
Béal. 50,27/06/2007,	Béaloideas L, údair éagsúla 
Béal. 52,27/06/2007, Béaloideas Lii, údair éagsúla 
Béal. 57,29/06/2007,  Béaloideas Lvii, údair éagsúla 
Béal. 60-61,14/06/2007,	Béaloideas Lx, údair éagsúla 
Béal. 66,18/06/2007,Béaloideas Lxvi, údair éagsúla 
Béal. 67,13/06/2007, Béaloideas Lxvii, údair éagsúla 
Béal. 68,13/06/2007,Béaloideas Lxviii, údair éagsúla 
C153,20/06/2007,Abhráin Ghaedhilge an Iarthair I,Micheál Ó Tiománaidhe   
LC108,21/06/2007, Gormfhlaith,Tomás Ua Concheanainn   
LM088,27/06/2007,Notes on Words Irish and Usages,ní fios  
LM099,22/06/2007,MhichílPrátaí Thaidhg,Séamus Ua Dubhghaill    
LM102,27/06/2007,Tadhg Gabha,Séamus Ua Dubhghaill   
NL588,18/06/2007,Ach Ní chastar na Cnoic,Mícheál Ó Súilleabháin    
NL077,22/05/2007, Scríbhne Risteard de Hindeberg,údair éagsúla   
NL116,01/06/2007,Bruidhean Chaorthainn,údair éagsúla   
NL136,18/06/2007,Dearg-ruathar Chonaill Chearnaigh,údair éagsúla   
NL350,22/06/2007, An Chaise Gharbh,Peadar Ó hAnnracháin     
NL406,01/06/2007,Eólas ar Áireamh,Canon Peter O'Leary
NL530,15/06/2007, ní fios, ní fios
NL543,26/06/2007,Cúirt na Dála agus Sgéal Eile,Shán Ó Cuív 
NL584,01/06/2007,An Claíomh Solais,Liam Mac Cóil 
NL585,28/05/2007,Ceachta na hEaladhan : i nGaedhilg agus i Saxbhéarla,Pádraig Ó Ceallacháin & Proinnsias Ó Conaire 
NL587,13/06/2007,Saothar Suadha : Cuid a hAon,údair éagsúla
NL617,25/06/2007,Ór-sgeul an Chreidimh,J. P. Craig 
NL618,22/06/2007,Maon,Seosamh T. Ó Ceit 
T043,22/06/2007, Luibhleabhrán,ní fios
U002,27/06/2007,Foghraidheacht Ghaedhilge an Tuaiscirt,Séamus Ó Searcaigh
A006,17/07/2007,Céimseata Scoile III agus IV, Hall & H.S. Stevens
A217, 03/07/2007,Cluichíní ón Iasacht - Oireachtas 1920,James Synge 
AM003, 10/07/2007,Céimseata Scoile I agus II, Hall & H.S. Stevens
AM011, 17/07/2007,Toradh na Gaedhilge ar Aitheasc agus ar Ghréithribh na nGaedheal,Liam Ó Briain 
Béal. 58,29/06/2007, Béaloideas Lviii, údair éagsúla
Béal. 59,29/06/2007,Béaloideas Lviii, údair éagsúla
Béal. 64-65,02/07/2007,Béaloideas Lxiv-v, údair éagsúla
LC035,09/07/2007,Deoraidheacht,Pádraig Ó Conaire
LC046,31/07/2007,Pádhraic Mháire Bhán nó An Gol agus an Gáire,Seán Ó Ruadháin 
LM023,10/07/2007,Feamainn Bhealtaine,Máirtín Ó Direáin 
LM024,10/07/2007,Ó Mórna agus Dánta Eile,Máirtín Ó Direáin
LM037,10/07/2007,Eoghan Paor,Pádraig Ó Séaghdha 
LM146,10/07/2007,Bás Dhalláin,Rev. Peter O'Leary 
LM147,09/07/2007,Tadhg Saor,An tAthair Peadar Ó Laoghaire 
NL424,09/07/2007,Blaithfhleasg de Mhílseáinibh na Gaoidheilge,Mícheál Coimín 
NL433,17/07/2007,Cuisle na hÉigse,údair éagsúla
NL546,09/07/2007,Mac Dathó,Tomás Ó Máille 
NL619,24/07/2007,Árus na nGabhadh agus Sgéalta Eile,Leon Ó Broin 
T048,19/07/2007,English-Irish Dictionary Terminological Additions and Corrections,údair éagsúla
T058,10/07/2007,Foclóir Béarla-Gaeilge de Théarmaí Míleata agus de Théarmaí Gaolmhara,Rannóg na Traenála
U020,17/07/2007,Ben Hur,Lew Wallace 
Béal. 42-44,30/08/2007,Béaloideas xxxxii-iv, údair éagsúla
LC002,13/08/2007,Mise,Colm Ó Gaora 
LC029,20/08/2007,Éan Cuideáin,Pádhraic Óg Ó Conaire 
LC030,13/08/2007,Ceol na nGiolcach,Pádhraic Óg Ó Conaire
LC050,13/08/2007,Cumhacht na Cinneamhna,Tomás Bairéad 
LC052,21/08/2007,Ór na h-Aitinne,Tomás Bairéad 
LM007,28/08/2007,Sean-aimsireacht,Domhnall Ua Murchadha   
LM045,30/08/2007,Cinneamhna Dé agus Scéalta Eile,Seán Ó Ciarghusa 
LM058,29/08/2007,An Saoghal Mór,Tomás Mac Síthigh  
LM082,30/08/2007,Filidheacht Phádraig Uí Chruadhlaoich I,Pádraig Ó Cruadhlaoich 
LU001,29/08/2007,Briathar Mná,Micheál Ó Gríobhtha 
LU008,30/08/2007,Fir Mhóra an tSeanphobail,Eibhlín Bean Uí Churraoin 
LU075,24/08/2007,Idir na Fleadhanna,Áine Ní Fhoghludha 
M069,20/08/2007,A Chomharsain Éistigí,Marion Gunn
C156, 19/09/2007,Fréamhacha na hÉireann,údair éagsúla
LC049,14/09/2007,Amhráin Chúige Chonnacht - An Leath Rann,ní fios
LM042,19/09/2007,Bun an Dá Abhann,Seán Ó Ciarghusa 
LM048,19/09/2007,Beirt Dhéiseach,Seán Ó Cuirrín 
LM049,19/09/2007,Psaltair na Rinne,Seán Ó Cuirrín
LM083,19/09/2007,Filidheacht Phádraig Uí Chruadhlaoich II,Pádraig Ó Cruadhlaoich 
LM148,14/09/2007,John Devoy,Seán Ó Lúing 
LÓCHR,26/09/2007,An Lóchrann,údair éagsúla
NL003,14/09/2007,Scéal na Scannán,Proinsias Ó Conluain 
NL352,17/09/2007,Caitheamh Aimsire,Ó Donnchadha, Tadhg
NL400,18/09/2007,Tuaim Inbheir & Dánta Eile,Micheál Ó Murchú 
NL425,19/09/2007,Oidhe Chloinne Uisnigh,údair éagsúla
NL432,19/09/2007,Duanaire na Nuadh-Ghaedhilge,údair éagsúla
NL681,24/09/2007,An Modh Díreach,Seaghán P.Mac Énrí  
NL682,26/09/2007,Tuaith agus Cathair Cuid 1,Seaghán P.Mac Énrí 
T068 ,14/09/2007,Handbook of Irish Terms for the Use of Public Bodies,údair éagsúla
U006 ,21/09/2007,Eadar Muir is Tír,Standish O'Grady
A187,      
A207,      
An Branar 3.25,An Branar 3.25,
An Branar 4 19,An Branar 4 19,
An Branar 5 19,An Branar 5 19,
An Branar 6 19,An Branar 6 19,
An Branar 6 25,An Branar 6 25,
An Branar 8.20,An Branar 8.20,
An Branar 9 19,An Branar 9 19,
An Branar. ,An Branar, 
LM047,Ar Mo Mharanadh Dam : Aistí,Seán Ó Ciarghusa      
LM084,Bhéarsaí "Dhá Chích Dhanann",Diarmuid Ó Muimhneacháin      
LM153,Soineann 's Doineann,Micheál Ó Siochfhradha      
LM154,An Dubhchrónach,Seán Ó Mulláin       
LU030,Bean Ruadh de Dhálach,Séamus Ó Grianna      
LÓCHR. 1931 11,LÓCHR. 1931 11,údair éagsúla
NL126,Nuala Ní Néill,Seán Mac Maoláin      
NL127,Slis de'n tSaoghal,Seán Mac Maoláin      
NL133,Na h-Oileáin Séanmhara,Seán Mac Maoláin      
NL312,Searmónta Aniar,An tAthair D. Ó Corcaráin,       
NL414,An Bheatha Phleisiúrtha,An tAthair Fiachra       
Nl453,Réics Carló san Aifric,Cathal Ó Sándair      
NL684,An Tríú Adamhbhomba,Cathal Ó Sándair      
NL688,Grádh Níos Mó,De Bhilmot, Séamus     
Stoc 1930 01,Stoc 1930 01,údair éagsúla
IMN1908,29/11/2007,IMN1908,údair éagsúla                                                                           
IMN1909,29/11/2007,IMN1909,údair éagsúla                                                                           
IMN1910,30/11/2007,IMN1910,údair éagsúla                                                                           
IMN1911,30/11/2007,IMN1911,údair éagsúla                                                                            
IMN1912,30/11/2007,IMN1912,údair éagsúla                                                                           
IMN907, 29/11/2007,IMN907, údair éagsúla                                                                           
LM073,01/11/2007,Aistí ar Litridheacht Ghréigise is Laidine,An tAthair Pádraig Ua Duinnín                          
NL021,27/11/2007,Nótaí Tís,Tomás De Bhial                                                                          
NL055,27/11/2007,Sláinteachas agus Garchabhair,Pádhraic Ó Fínneadha                                                
NL081,02/11/2007,Blátha an Bhóithrín,Seán Tóibín                                                                   
NL135,28/11/2007,Mindealú agus Parsáil,An tAthair Gearóid Ó Nualláin                                               
NL137,28/11/2007,Tuaith-Eoluidheacht,Tomás Mag Uidhir                                                              
NL217,02/11/2007,Dánta agus Duanta 1941-1947,Liam S.Gógan                                                          
NL310,02/11/2007,Stair na nDéise .i. Déise Mumhan, dúthaigh Déaglán ó thosach go dtí A.D. 1108,Mac Gréagóir, Art   
NL313,28/11/2007,An Bheatha Chríostaidhe,An tAthair Conn Ó Mongáin                                                 
NL315,27/11/2007,Stair na hEorpa 3 1886-1987,Micheál Breathnach,                                                   
NL318,30/10/2007,Airgead Beo,Earnán De Siúnta,                                                                     
NL382,29/11/2007,Oideachas in Éirinn 1500-1946,R. Batterberry                                                      
NL449,30/10/2007,De Bharr na gCnoc,Caoimhghin Ó Góilidhe                                                           
NL451,27/11/2007,Soir ón Rio Grande,Cathal Ó Sándair                                                               
NL452,21/11/2007,Réics Carló ar Dhá Eachtra Eile,Cathal Ó Sándair                                                  
NL454,01/11/2007,Réics Carló - San Éigipt,Cathal Ó Sándair                                                         
NL481,28/11/2007,An Léirmheastóir,Críostóir Ó Raghallaigh                                                          
NL497,01/11/2007,Miss Crookshank agus Coirp Eile,Leon Ó Broin                                                      
NL683,01/11/2007,Abhráin atá leagtha ar an Reachtabhrach,Dubhghlas De hÍde                                         
NL685,01/11/2007,Cladóir agus Scéalta Eile,Criostóir Mac Aonghusa                                                  
NL686,01/11/2007,An Rún agus Scéalta Eile,Leon Ó Broin                                                             
NL687,01/11/2007,An Cailín Aimsire Abú,Bháitéar Ó Maicín                                                           
NL690,31/10/2007,Rosc Catha na Gaedhilge agus Dánta Eile,Donnchadh Ó Liatháin 
IMN1913,30/11/2007,IMN1913,                                                                                                                                                                                                                  
LU091,20/12/2007,Beatha Naoimh Adhamhnain,                                                                                                                                                              
LU092,18/12/2007,Seaghan Mac a' Bháird                                                                                                                                                                  
LU095,20/12/2007,Eachtra Aodha Ruaidh Uí Dhomhnaill,Peadar T. Mac Fhionnlaoich                                                                                                                          
NL023,18/12/2007,Cuntais agus Cuntasaíocht,Liam Ó Buachalla                                                                                                                                             
NL134,18/12/2007,Uraiceacht Ceoil,E. De Regge & M. Ó Siochfhradha                                                                                                                                       
NL206,18/12/2007,For-Oideas Aigne-eolais do'n Aos Léighinn,Clochar Mhuire na Trócaire                                                                                                                   
NL264,17/12/2007,Fisic III - Teas,Liam Ó Lúbaigh & Murchadh Ó Síthigh                                                                                                                                   
NL325,17/12/2007,Comhacht Uisce in Éirinn,Annraoi Breathnach, & Pádraig Ó Domhnaill                                                                                                                     
NL409,17/12/2007,Nótaí cleachttha ar an gcéimíocht maille le cláir anailíse de lucht na céad-bhliadhna: do réir mar teagascthar an t-adhbhar seo i gColáiste na hOllscoile Gaillimh,Uinsionn De Barra   
NL689,17/12/2007,Léitheoireacht agus Caitheamh Aimsire Buachaillí an Bhaile Mhóir,Seán Mac Cuinn                                                                                                        
NL724,20/12/2007,Fan Nóiméad,	údair éagsúla                                                                                                                                                             
U129,18/12/2007,Sgéaltan X Rachreann,údair éagsúla                                                                                                                                                      
U130,30/11/2007,Siamsán na Beanna Fada,údair éagsúla                                                                                                                                                    
U134,19/12/2007,Dánta Diadha Uladh,údair éagsúla
A109,24/01/2008,An Leabhar Aifrinn Rómhánach,Cliarlathas na hÉireann                                                                                                                                                         
AC009,22/01/2008,Ríoghacht na nÉan 1,Oliver G.Pike 
AC010,22/01/2008,Ríoghacht na nÉan 2,Seán Mac Giollarnáth 
AC021,09/01/2008,Blátha Bealtaine,Máire de Buitléir 
AU006,21/01/2008,Eadar Muir is Tír,Standish O'Grady 
Flor.Dub,25/01/2008,Flor.Dub,ní fios
LC025,25/01/2008,Diarmaid Donn,Micheál Ó Máille 
LC038,21/01/2008,Sgéalta na n-Oileán - Sgéalta agus Dréachta,Peadar Ó Direáin 
LC041,25/01/2008,Dréachta,Pádraic Ó Domhnalláin 
LC048,23/01/2008,Seo Siúd,An tAthair Liam Ó Beirn 
LC128,09/01/2008,Mac Gníomhartha Bhriain,Tomás Ua Concheanainn 
LM078,21/01/2008,Duanta Andeas,Pádraig Ó Míleadha 
LM079,18/01/2008,Fiannaidhe Fáin,Pádraig Ó Míleadha
LM158,22/01/2008,Fiche Blian ag Fás,Muiris Ó Súileabháin 
LU089,09/01/2008,Filí gan Iomrádh,Seosamh Mac Grianna 
LU093,09/01/2008,Cnuasach Céad Conlach,Seán Bán Mac Meanman 
LU094,08/01/2008,Scríbhneoireacht na gConallach,údair éagsúla
M195,02/01/2008,Sean-Fhocail na Mumhan - 1,Tadhg Ua Donnchadha 
NL112,22/01/2008,Iolar agus Sionnach,Seán Mac Maoláin 
NL115,23/01/2008,Bodach an Chóta Lachtna,Pádraig Mac Piarais 
NL128,25/01/2008,Fotha Feasa,Liam De Lása 
NL440,09/01/2008,Tóraidheacht an Ghiolla Dheacair agus A Chapaill,ní fios
NL721,09/01/2008,Greann na Gaedhilge,Énrí Ó Muirgheasa 
NL722,09/01/2008,Caoimhghín Ó Cearnaigh,Uilliam Ó Riain 
NL723,09/01/2008,I dTaobh na hOibre,Eoghan Ó Neachtain 
NL725,08/01/2008,Beatha an Athar Tiobóid Maitiú,Seán Ó Ceallaigh 
T085,03/01/2008,Foclóir Béarla-Gaeilge de Théarmaí Míleata agus de Théarmaí Gaolmhara,Rannóg na Traenála                              
U135,20/12/2007,Sgéal Chúchulainn ag Cuan Cárn,Seosamh Laoide
AC223,26/02/2008,Ion-taisí,Henry Gee & C. Fitzsimons & S. McCormick
A289,26/03/2008,Taoiseach Deireannach na nGaedheal,Pender, M. T.
AC013,11/03/2008,Sgéalta Eorpacha is Eile,aistritheoir 
AU016,12/03/2008,Stair Éirghe-Amach na n-Éireannach i 1798 II,Séarlas Hamilton Taoiling 
AU029,27/03/2008,Eadarbhaile,Peadar O'Donnell 
LC043,06/03/2008,Cladaigh Chonamara,Séamas Mac Con Iomaire 
LM105,06/03/2008,Allagar na hInise,Tomás O Criomhthain 
LM124,11/03/2008,Art Ó Gríofa : Beathaisnéis,Seán Ó Lúing 
LU042,12/03/2008,An Draoidín,Séamus Ó Grianna  
LU061,11/03/2008,Laochas: Sgéalta as an tSean-Litridheacht,Séamus Ó Searcaigh 
NL351,05/03/2008,An Tiomna Naomhtha agus Dánta Eile,Donnchadh Ó Liatháin  
NL715,04/03/2008,An Coimhthigheach,Séamus Mac Conmara  
NL732,13/03/2008,Eachtraidheacht,Seán Ua Ceallaigh 
NL753,13/03/2008,Gaedhealachas i gCéin,Liam P.Ó Riain 
NL757,13/03/2008,Mar Chonnac-sa Éire,Peadar Ó hAnnracháin
A027,16/04/2008,Tír-Eoluíocht na h-Éireann,T.J. Dunne 
A039,28/04/2008,Stair na hÉireann 2,aistritheoir
A197,03/04/2008,An Teagasc Críostaidhe,Díoghóis Rátha Bhoth 
A226,25/04/2008,Cladach agus Farraige,Cecelia Fitzsimons & Pamela Forey 
A240,28/03/2008,Beatha Íosa Críost,aistritheoir
AC008,01/04/2008,Sealgaireacht an Iarthair,W.H. Maxwell 
AC017,28/04/2008,Cam-chuarta in Éirinn,William Bulfin 
AC020,07/04/2008,Mé Féin is m'Asal,Seán Ó Ruadháin 
AM013,03/04/2008,Sgéalta Eorpacha is Eile,aistritheoir
AM014,07/04/2008,Fabhail-scéalta ó Aesop 2,Aesop
AM018,07/04/2008,Fabhail-scéalta ó Aesop 3,Aesop
AU003,28/04/2008,Oidhche ar Bharr Tuinne agus Scéalta Eile
AU004,16/04/2008,Deoraidhe Gaedhil ag eachtradh ar bhliain a 1798,Miles Byrne 
AU015,07/04/2008,Stair Éirghe-Amach na n-Éireannach i 1798 I,Séarlas Hamilton Taoiling 
LC126,03/04/2008,Leabhar Cainte Gaedhilge - Béarla,Tomás Ua Concheanainn 
LU090,30/03/2008,Forbairt na Gaeilge,Niall (FGB) Ó Domhnaill 
NL037,02/04/2008,Tír-eolaidheacht (Aicionta) I,Séamus Mistéal 
NL148,02/04/2008,Trí Truagha na Scéaluidheachta,ní fios
NL240,07/04/2008,Mo Thuras go hAmerice nó Imeasg na nGaedheal ins an Oileán Úr, Douglas Hyde 
NL251,30/03/2008,Mise agus An Connradh,De hÍde, Dubhghlas
NL758,08/04/2008,Cnósach Gearr-scéal,Cnósach Gearr-scéal
Stoc,03/04/2008,Stoc,údair éagsúla
U012,03/04/2008,Cnuasacht de Cheoltaí Uladh,údair éagsúla
U136,08/04/2008,Mion-chaint na Midhe agus Uladh,Pádraig Ua Dubhthaigh
A201,26/05/2008,Breith Báis ar Eagnuidhe,Platón
A210,26/05/2008,Scéalta a Filí na Rómha - Sraith 2, M. R. Pease
A228,01/05/2008,Dúile Fionnuisce,Pamela Forey & Peter Forey 
AU011,22/05/2008,Teacht Fríd an tSeagal,Helen Mathers 
AU014,01/05/2008,Uaill-mhian Iúdaigh,Roy Bridges 
Iris1_1,22/05/2008,Iris1_1,údair éagsúla
Iris1_2,26/05/2008,Iris1_2,údair éagsúla  
Iris1_3,26/05/2008,Iris1_3,údair éagsúla
Iris1_5,28/05/2008,Iris1_5,údair éagsúla
LM061,02/05/2008,Dinnseanchas na mBlascaodaí,Tomás Ó Criomhthain 
M037,01/05/2008,Eoghan Paor,Pádraig Ó Séaghdha 
NL323,02/05/2008,Algébar II,Seóirse Mac Niocaill 
NL478,26/05/2008,Cáith agus Grán,Peadar Ó Dubhda 
NL752,26/05/2008,Béarla Sacsan agus Creideamh i n-Éirinn,ní fios
A231,06/06/2008,Bláthanna Fiáine,Cecelia Fitzsimons & Pamela Forey  
A264,09/06/2008,Fianaise na Staire 3,Denis Cowman 
AM001,05/06/2008,Smaointe Fáin an tSuarthamáin,Jerome K.Jerome 
NL471,06/06/2008,Eacnamaíocht Bhaile 2000 - Cuid 1,Deirdre Ní Chorcora
AU021,11/08/2008,Eachtraí Sherlock Holmes,Sir Arthur Conan Doyle 
NL459,11/08/2008,An Fhiannuidheacht,Cormac Ó Cadhlaigh 
A016, 07/04/2009,Tigheas,Ruth Binnie & Julia Boxall 
A032, 28/01/2009,An Saol in Éirinn,L.M. Ó Cuileáin  
A124, 29/01/2009,Teagasc Críostuidhe Mhaighe Nuadhat,aistritheoir
A201, 28/01/2009,Breith Báis ar Eagnuidhe,Platón
A210, 09/12/2008,Scéalta a Filí na Rómha - Sraith 2,M. R.Pease 
A278, 19/02/2009,Téacs agus Trialacha 2, An Mhatamaitic : An tSraith Shóisearach Siollabas A, O. D. Morris
A288, 06/03/2009,Cúrsaí Gnó : Cleachtaí,Dominic Mc Quillan & Eamon Stack 
AC001,23/02/2009,Féin-Scríbhinn Fíor-Shreothaidhe, W. H.Davies
AC016,19/03/2009,Ór Spáinneach,James Hannay 
AC023,03/03/2009,Mac na Mná Déirce,Séamas O'Kelly 
AM001,28/01/2009,Féin-Scríbhinn Fíor-Shreothaidhe,W. H.Davies
AM009,06/03/2009,Ríoghacht na nÉan 1,Pike, Oliver G.
AU010,20/02/2009,Teach an Chrochadóra,Donn Byrne 
AU011,25/02/2009,Teacht Fríd an tSeagal,Helen Mathers 
AU021,28/01/2009,Eachtraí Sherlock Holmes,Sir Arthur Conan Doyle 
C002,05/03/2009,The Irish of Achil,Gerry Stockman
C139.,26/02/2009,The Living Landscape, Patrick Fannagan
Irisl_1,26/01/2009,Irisl_1,Máre
Irisl_2,24/02/2009,Irisl_2,Tarlach Bhillí
Irisl_3,22/02/2009,Irisl_3,Domhnall Ó Modhráin
Irisl_4,28/01/2009,Irisl_4,ní fios
Irisl_5,23/02/2009,Irisl_5,ní fios
LC002,09/02/2009,Mise,Colm Ó Gaora 
LC025,09/02/2009,Diarmaid Donn,Micheál Ó Máille 
LC044,09/02/2009,Mo Dhúthaigh Fhiáin,Seán Mac Giollarnáth 
LC046,09/02/2009,Pádhraic Mháire Bhán nó An Gol agus an Gáire,Seán Ó Ruadháin 
LM016,09/02/2009,An t-Sraith Tógtha,Máirtín Ó Cadhain 
LM039,28/01/2009,Bruth-fá-Thír,Pádhraic Ó Domhnalláin & Tomás Ó Raghallaigh 
LM055,10/02/2009,An t-Iomaire Ruadh,Tomás Ó Máille 
LM061,24/02/2009,Sionnach ar mo Dhuán,Breandán Ó hEithir 
LU002,10/02/2009,Tusa A Mhaicín,Mághnus Mac Cumhaill 
LU015,24/02/2009,Scéal Ghaoth Dobhair, Seán Mac Fhionnlaoich
LU064,30/06/2009,An Dílidhe,Aindrias Ó Baoighill  
LU093,10/02/2009,Cnuasach Céad Conlach,Seán Bán Mac Meanman 
NL186,15/01/2009,Nuaidheachteóireacht ar Muir,Tomás Ua Concheanainn 
NL259,24/03/2009,Parnell,Leon Ó Broin 
NL350,24/02/2009,An Chaise Gharbh,Ó hAnnracháin, Peadar 
NL459,19/03/2009,An Fhiannuidheacht,Cormac Ó Cadhlaigh  
NL465,27/02/2009,Fisic Shinsearach 3 - Leictreachas,MattHussey 
NL469,01/04/2009,Fisic Shinsearach 2 - Teas,Matt Hussey
NL470,25/03/2009,Fisic Shinsearach 4 - Solas,Matt Hussey
NL478,10/02/2009,Cáith agus Grán,Peadar Ó Dubhda 
NL530,11/02/2009,Ceart na Sua,Liam Ó Catháin 
NL715,11/02/2009,An Coimhthigheach,Séamus Mac Conmara  
NL759,25/03/2009,An tSean-Eoraip,Sighle Ní Chinnéide
A071,27/05/2009,Beathaí Phlútairc,aistritheoir
A190,15/04/2009,Críost an Uile,Rev John Carr
C136,Clár Amhrán Bhaile na hInse,Ríonach Ní Fhlathartaigh  
A007,08/06/2009,Céimseata Scoile I agus II,H.S. Hall & F.H. Stevens
A031,02/06/2009,Geograif don Ghaedheal Óg Cuid a trí Roinn a haon,Eibhlín De Buitléir 
AC015,12/06/2009,Stair Choitchean na ré Críostaidhe imleabhar 1 ón tús do chum Éirighe Amach na bProtastún (1-1517),Nioclas Uebern 
Éir35,18/06/2009,Éir35,ní fios
LM080,08/06/2009,Trí Glúine Gaedheal,Pádraig Ó Míleadh, 
NL707,22/06/2009,Nuabhéarsaíocht 1939-1949,údair éagsúla
NL796,03/06/2009,An Aifric Theas,Éamonn Mac Giolla Iasachta  
NL801,19/06/2009,Nuascéalaíocht 1940-1950,údair éagsúla
NL893,08/06/2009,Athbheo,Tomás Ó Floinn 
Éir35_09_28,10/06/2009,Éir35_09_28,ní fios
Éir35_10_12,22/06/2009,Éir35_10_12,ní fios
A024,  06/07/2009,Stair na Gréige Cuid 1-3,B Bury 
LC135, 24/07/2009,Laochra Gaedheal,Tomás Ua Concheanainn 
NL110, 13/07/2009,File Callánach,Seán Mac Maoláin 
NL455, 09/07/2009,Cás an Mhilliúnaí Mhairbh,Cathal Ó Sándair 
NL693, 31/07/2009,Trodairí na Treas Briogáide,An tAthair Colm ff cille Colm Ó Labhra
NL716, 20/07/2009,Tonn Tuile,Séamus Ó Néill
U043,  13/07/2009,Scéaltaí Johnny Shéimisín, údair éagsúla
Éir35_09_14,  08/07/2009,Éir35_09_14,ní fios
Éir35_09_21,  20/07/2009,Éir35_09_21,ní fios
Éir35_10_05,  21/07/2009,Éir35_10_05,ní fios
Éir35_10_19,  22/07/2009,Éir35_10_19,ní fios
Éir35_11_02,  28/07/2009,Éir35_11_02,ní fios
LC135,24/07/2009,Laochra Gaedheal,Tomás Ua Concheanainn, 
NL110,13/07/2009,File Callánach,Seán Mac Maoláin
NL455,09/07/2019,Cás an Mhilliúnaí Mhairbh,Cathal Ó Sándair
NL693,31/07/2019,Ullmhúcháin,An tAthair Colmcille Ó Labhra
NL716,20/07/2009,Tonn Tuile,Eoghan Ó Tuairisc
U043,13/07/2009,Mac an Iascaire,Séamas Ó Grianna
A293a,05/08/2009,Seo Apartheid:Trácht agus Pictiúir,aistritheoir
NL285,19/08/2009,So Súd, Liam Ó Rinn
NL474,26/08/2009,Cineál Féichín agus Síol Anmachadha,Mícheál Ó Conaill
NL698,06/08/2009,Emmet,Leon Ó Broin
NL805,27/08/2009,Lorcán Naomhtha Ua Tuathail,An tAthair Benedict
Éir35_11_09,10/08/200911_09,Éir35_11_09,ní fios
AC025,03/09/2009,Cladach na Fairrge,J.H Kelman & Rev.T. Wood
LM003,28/08/2009,Bean an Bhrait Bháin, Mícheál Ó Gríobhtha                     
LM072,11/08/2009,Brosna,Seán Ó Riordáin
LM182,11/08/2009,Línte Liombó,Seán Ó Riordáin 
NL427,08/09/2009,Beatha Mhuire,bail Éag
Éir35_10_26,17/09/2009,Éir35_10_26,ní fios
Éir35_11_23,08/09/2009,Éir35_11_23,ní fios
Éir35_11_16,01/10/2009,Éir35_11_16,ní fios
LM183,12/10/2009,Eireaball na Spídeoige,Seán Ó Ríordáin
A156,03/11/2009,Scol-chúrsa i Sláinteachas,Robert A. Lyster
AM004,04/11/2009,Deoraidhe Gaedhil ag Eachtradh ar Bhliain a 1798,Myles Byrne
LM171,03/11/2009,Eisirt,An tAthair Peadar Ua Laoghaire
AM022a,16/12/2009,Na Cheithre Soisgéil as an Tiomna Nua,An tAthair Peadar Ua Laoghaire
L306,15/12/2009,Duanaire Gaedhilge,Róis Ní Ógáin
LM173,16/12/2009,Mion-Chaint Cuid I,Very Rev. Peter Canon O'Leary
LM174,16/12/2009,Mion-Chaint Cuid II,Very Rev. Peter Canon O'Leary
LM175,16/12/2009,Mion-Chaint Cuid III,Very Rev. Peter Canon O'Leary
NL476,16/12/2009,Mion-Chaint Cuid III,Very Rev. Peter Canon O'Leary
Éir35_12_07,29/10/2009,Éir35_12_07,ní fios
A300,   28/01/2010,Beathafhéinscríbhinn Naoimh Treasa leis an Leanbh Íosa,ní fios
AM022b, 05/01/2010,Gníomhartha na n-Aspol,An tAthair Peadar Ua Laoghaire -eag
LM176,  15/01/2010,Papers on Irish Idiom,An tAthair Peadar Ua Laoghaire
NL030,  19/01/2010,Gnás na Gaedhilge,Cormac Ó Cadhlaigh
NL706,  11/01/2010,Scéalta Andeas,údair éagsúla 
NL883,  20/01/2010,Gaethe Gréine II,údair éagsúla
ShanVV1896_03_06,15/02/2010,ShanVV1896_03_06,ní fios
ShanVV1896_04_03,15/02/2010,ShanVV1896_04_03,ní fios
ShanVV1896_05_01,15/02/2010,ShanVV1896_05_01,ní fios
